pid|parent_pid|cpu_use_percent|mem_use_percent|mem_use_bytes|name|command|read_bytes_per_sec|write_bytes_per_sec|total_read_bytes|total_write_bytes|process_state|process_state_char|uid
657|1|0|0.026033376622371217|9159680|storedownloadd|/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd|0|0|1134592|0|Runnable|R|501
27773|1|0|0.40979357875196837|144183296|com.apple.WebKit.WebContent|/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent|0|0|2936832|20480|Runnable|R|501
13557|1|0|0.010535586738175944|3706880|com.apple.audio.SandboxHelper|/System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper|0|0|0|0|Runnable|R|501
621|1|0|0.02503220484393682|8807424|ScopedBookmarkAgent|/System/Library/CoreServices/ScopedBookmarkAgent|0|0|299008|57344|Runnable|R|501
36465|452|0|1.3136363263305442|462194688|Code Helper (Renderer)|/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --disable-color-correct-rendering --field-trial-handle=1718379636,12613057910318958120,7186265368457246828,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WindowCaptureMacV2 --lang=en-US --user-data-dir=/Users/fdncred/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --no-sandbox --no-zygote --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=20 --no-v8-untrusted-code-mitigations --shared-files --vscode-window-config=vscode:ef5f0ab1-7ce3-4786-b214-54bd4f289110|0|0|237568|0|Runnable|R|501
28880|1|0|0.0425789044142304|14981120|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|0|0|Runnable|R|501
28307|0|0|0|0|nbstated|nbstated|0|0|0|0|Unknown|?|0
869|1|0|0.21543237611416013|75798528|WeatherWidget|/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("en-US")|0|0|11288576|3010560|Runnable|R|501
18805|1|0|0.017069396745691134|6005760|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|36864|0|Runnable|R|501
13407|1|0|1.9797298803617187|696555520|com.apple.WebKit.WebContent|/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent|0|0|1044480|1179648|Runnable|R|501
800|1|0|0.06570771872591112|23118848|SiriNCService|/System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService|0|0|438272|0|Runnable|R|501
721|1|0|0.039528822949697694|13907968|photoanalysisd|/System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd|0|0|1519616|0|Runnable|R|501
